1000	14
1001	10
1002	33
1003	48
1004	20
1005	39
1006	00
1007	10
1008	36
1009	28
100a	10
100b	30
100c	30
100d	10
100e	15
100f	48
1010	20
1011	61
1012	3C
1013	10
1014	03
1015	00
1016	10
1017	2A
1018	0C
1019	10
101a	39
101b	00
101c	10
101d	2D
101e	0C
101f	10
1020	36
1021	48
1022	20
1023	61
1024	08
1025	10
1026	33
1027	4C
1028	00
1029	00
102a	45
102b	4F
102c	46
102d	00
102e	00
102f	03
1030	00
1031	00
1032	00
1047	04
1048	10
1049	30
104a	00
104b	10
104c	30
104d	E0
104e	20
104f	5D
1050	30
1051	20
1052	3F
1053	D8
1054	20
1055	5D
1056	28
1057	10
1058	30
1059	30
105a	20
105b	57
105c	54
105d	90
105e	39
105f	2C
1060	20
1061	5E
1062	38
1063	20
1064	3F
1077	10
1078	10
1079	36
107a	4C
107b	00
107c	00
107d	00
107e	00
107f	00
1080	00
1081	10
1082	00
1083	04
1084	10
1085	30
1086	E0
1087	20
1088	79
1089	30
108a	20
108b	64
108c	50
108d	90
108e	39
108f	DC
1090	20
1091	79
1092	2C
1093	10
1094	36
